,v0,k0,k1
DUX4,2.9644722265859658,1.0032196337699284,1.001198975100091
PRAMEF1,389.47484192307115,0.01612167337160607,0.26359879939913694
PRAMEF12,110.38218929385498,0.05419877343291074,0.9775844490636768
PRAMEF2,17.974175673048517,0.010598071320028124,0.23703956588546127
RFPL1,112.1584955738694,0.005796102880773041,0.11892915342916571
RFPL2,107.50312216661952,0.005976431602250116,0.12533120182449142
RFPL4B,245.263869447777,0.0822655323252767,0.7893240015671127
TRIM43,272.94565473535243,0.05993574062494076,1.014533054093076
ZSCAN4,130.85659100002215,0.10292091487169186,0.6949205320625264
